City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khatanga,RU,71.9667,102.5,31.06,95,100,10.92,overcast clouds
1,Kashi,CN,39.4547,75.9797,74.41,31,100,20.13,moderate rain
2,Bethel,US,41.3712,-73.414,74.1,84,100,3.44,overcast clouds
3,Ngunguru,NZ,-35.6167,174.5,61.57,70,100,20.47,overcast clouds
4,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,16.11,scattered clouds
5,Castro,BR,-24.7911,-50.0119,72.61,48,48,9.62,scattered clouds
6,Kathu,TH,7.9178,98.3332,85.75,82,100,17.74,moderate rain
7,Hilo,US,19.7297,-155.09,74.28,91,100,6.91,overcast clouds
8,Almeria,ES,37.1667,-2.3333,82.44,23,32,8.32,scattered clouds
9,Punta Arenas,CL,-53.15,-70.9167,41.11,65,40,17.27,scattered clouds
10,Georgetown,MY,5.4112,100.3354,84.15,79,20,1.14,few clouds
11,Santa Ana,US,33.7456,-117.8678,65.98,78,100,5.75,overcast clouds
12,Narsaq,GL,60.9167,-46.05,61.02,42,19,10.07,few clouds
13,Port Macquarie,AU,-31.4333,152.9167,51.89,87,19,6.76,few clouds
14,Zabaykalsk,RU,49.6333,117.3167,49.96,29,99,5.66,overcast clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,99,11.01,overcast clouds
16,Sorong,ID,-0.8833,131.25,79.43,79,76,1.19,broken clouds
17,Staryy Nadym,RU,65.6118,72.6842,60.96,35,4,21.88,clear sky
18,Puerto Montt,CL,-41.4698,-72.9447,47.23,76,75,8.05,broken clouds
19,Kholodnyy,RU,62.7167,147.95,38.88,80,100,2.24,overcast clouds
20,Dikson,RU,73.5069,80.5464,27.55,95,22,8.66,few clouds
21,Moerai,PF,-22.4333,-151.3333,75.85,79,91,12.44,light rain
22,Saskylakh,RU,71.9167,114.0833,18.55,96,94,0.74,overcast clouds
23,Mangai,CD,-4.05,19.5333,71.65,96,86,2.93,light rain
24,Ovalle,CL,-30.5983,-71.2003,66.0,42,86,3.85,overcast clouds
