City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
6,Kathu,TH,85.75,moderate rain,7.9178,98.3332,Novotel Phuket Resort
8,Almeria,ES,82.44,scattered clouds,37.1667,-2.3333,Casa Rural El Laurel
10,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
15,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Sorong,ID,79.43,broken clouds,-0.8833,131.25,Waigo Splash Hotel
21,Moerai,PF,75.85,light rain,-22.4333,-151.3333,Le Manotel
26,Hithadhoo,MV,84.27,scattered clouds,-0.6,73.0833,Scoop Guest House
29,Touros,BR,82.69,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
35,Rikitea,PF,76.24,clear sky,-23.1203,-134.9692,People ThankYou
36,Trinidad,BO,87.78,few clouds,-14.8333,-64.9,Hotel Piesta
44,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
47,Atuona,PF,77.58,light rain,-9.8,-139.0333,Villa Enata
49,Pitimbu,BR,77.59,light rain,-7.4706,-34.8086,Reserva do Abiaí
62,Lata,PT,81.59,few clouds,40.1629,-8.3327,Casa Maquia
63,Kavieng,PG,80.71,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
65,Redlands,US,81.43,haze,34.0556,-117.1825,Dynasty Suites Redlands
66,Kieta,PG,79.68,light rain,-6.2167,155.6333,Uruna Bay Retreat
67,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
70,Tambopata,PE,85.89,scattered clouds,-12.7333,-69.1833,Enashawa Lodge
71,Conceicao Do Araguaia,BR,88.02,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
81,Porbandar,IN,81.68,few clouds,21.6422,69.6093,Lords Inn Porbandar
83,Saint George,US,86.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
84,Namatanai,PG,78.37,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
88,Sabang,ID,83.28,moderate rain,5.8933,95.3214,Hotel Citra
89,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
91,Trincomalee,LK,81.45,overcast clouds,8.5711,81.2335,Welcombe Hotel
93,Kudahuvadhoo,MV,84.15,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
95,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
97,Lorengau,PG,78.87,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
104,Butaritari,KI,81.28,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
109,Progreso,MX,86.38,broken clouds,21.2833,-89.6667,Playa Linda Hotel
113,Axim,GH,82.53,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
116,Trairi,BR,80.67,broken clouds,-3.2778,-39.2689,janelas do mar
120,Rock Sound,BS,79.54,few clouds,24.9,-76.2,Pink Corral Bay Property
121,Cayenne,GF,85.08,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
127,Balabac,PH,81.1,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
145,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
146,Ajdabiya,LY,78.26,scattered clouds,30.7554,20.2263,Almadina Hotel
150,Arraial Do Cabo,BR,82.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
152,Muros,ES,75.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
159,Hirara,JP,79.97,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
160,Brokopondo,SR,83.77,scattered clouds,4.75,-55.1667,Matu Island
163,Itarema,BR,82.15,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
165,Ikom,NG,77.49,overcast clouds,5.9667,8.7063,Reho Farm & Resort
167,Mineiros,BR,82.62,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
170,Guarapari,BR,78.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
179,Nabire,ID,75.6,broken clouds,-3.3667,135.4833,Hotel Nusantara I
183,Inirida,CO,86.65,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
188,Caravelas,BR,79.29,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
189,Sal Rei,CV,79.0,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
194,Cururupu,BR,82.13,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
199,Hobyo,SO,78.8,few clouds,5.3505,48.5268,Iftin hotel hobyo
202,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
203,Russell,US,79.92,few clouds,32.3502,-85.1999,Macs
208,Meulaboh,ID,76.98,overcast clouds,4.1363,96.1285,Kost Pria
211,Andros Town,BS,85.96,few clouds,24.7,-77.7667,Hanks place
213,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
215,Quatre Cocos,MU,75.31,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
218,San Nicolas,PH,80.73,scattered clouds,18.1725,120.5953,NORTHVIEW Hotel
220,Matara,LK,77.36,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
221,Acapulco,MX,85.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
222,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
225,Erzin,TR,76.21,clear sky,36.9559,36.2,Artemis Otel
235,Wewak,PG,79.57,clear sky,-3.5534,143.6268,In Wewak Boutique Hotel
240,Kapoeta,SS,83.01,overcast clouds,4.7717,33.5903,Eastgate Hotel
241,Grand Baie,MU,75.67,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
244,Cabinda,AO,80.74,few clouds,-5.55,12.2,Hotel Maiombe
248,Biak,ID,75.45,broken clouds,-0.9131,122.8766,Penginapan Kim
249,Omboue,GA,75.45,scattered clouds,-1.5746,9.2618,Hotel Olako
254,Pascagoula,US,83.55,clear sky,30.3658,-88.5561,Regency Inn
266,Bengkulu,ID,75.45,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
267,Manokwari,ID,77.59,clear sky,-0.8667,134.0833,Swiss Belhotel Manokwari
269,Santa Rosa,PH,80.58,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
270,Safaga,EG,84.29,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
277,Cockburn Town,TC,80.37,clear sky,21.4612,-71.1419,Osprey Beach Hotel
278,Narasannapeta,IN,86.54,broken clouds,18.4167,84.05,AVK events and catering
281,Gizo,SB,81.5,light rain,-8.103,156.8419,Imagination Island
284,Guerrero,MX,82.27,overcast clouds,17.6667,-100.0,Villaxochilt
288,Faya,SA,75.72,few clouds,18.3851,42.4509,املاك خالد الشعشوع
300,Namuac,PH,80.13,few clouds,18.6109,121.1657,Mlin Hotel
307,Itacare,BR,79.93,few clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
308,Porto De Moz,BR,82.58,scattered clouds,-1.7483,-52.2383,Dormitório labelle
309,Leon,MX,82.81,few clouds,21.1167,-101.6667,Enterprise Inn Poliforum
314,Tabuk,PH,76.3,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
320,Oranjestad,AW,85.95,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
324,Prainha,BR,84.34,few clouds,-1.8,-53.48,Casa Rocha
326,Tautira,PF,79.84,few clouds,-17.7333,-149.15,Pension Oaoa
329,Upata,VE,89.89,overcast clouds,8.0086,-62.3989,Posada Villa Nela
332,Arinos,BR,86.45,few clouds,-15.9169,-46.1056,casa do bruno
333,Sur,OM,89.4,clear sky,22.5667,59.5289,Sur Plaza Hotel
